[2025-07-03 10:34:38] Key: 9 | CPU: 0.6% | RAM: 90.9% | Disk: 7749797888 | Net: (26504732, 149191926) | Procs: 210
[2025-07-03 10:34:39] Key: q | CPU: 1.2% | RAM: 90.9% | Disk: 7749797888 | Net: (26504732, 149191926) | Procs: 210
[2025-07-03 10:34:39] Key: U | CPU: 0.6% | RAM: 90.9% | Disk: 7749797888 | Net: (26504732, 149191926) | Procs: 210
[2025-07-03 10:34:39] Key: H | CPU: 4.3% | RAM: 90.8% | Disk: 7751895040 | Net: (26504732, 149191926) | Procs: 210
[2025-07-03 10:34:40] Key: j | CPU: 1.7% | RAM: 90.8% | Disk: 7752079360 | Net: (26504732, 149191988) | Procs: 210
[2025-07-03 10:34:40] Key: L | CPU: 0.6% | RAM: 90.8% | Disk: 7752079360 | Net: (26504732, 149192050) | Procs: 210
[2025-07-03 10:34:40] Key: k | CPU: 0.6% | RAM: 90.8% | Disk: 7752079360 | Net: (26504732, 149192050) | Procs: 210
[2025-07-03 10:34:41] Key: k | CPU: 1.8% | RAM: 90.8% | Disk: 7754176512 | Net: (26504732, 149192050) | Procs: 210
[2025-07-03 10:34:41] Key: 6 | CPU: 0.0% | RAM: 90.8% | Disk: 7754176512 | Net: (26504732, 149192104) | Procs: 210
[2025-07-03 10:34:41] Key: k | CPU: 0.6% | RAM: 90.8% | Disk: 7754176512 | Net: (26504732, 149192166) | Procs: 210
[2025-07-03 10:34:42] Key: R | CPU: 1.9% | RAM: 90.8% | Disk: 7754176512 | Net: (26504732, 149192166) | Procs: 210
[2025-07-03 10:34:42] Key: A | CPU: 0.0% | RAM: 90.8% | Disk: 7756273664 | Net: (26504732, 149192166) | Procs: 210
[2025-07-03 10:34:42] Key: l | CPU: 0.6% | RAM: 90.8% | Disk: 7756273664 | Net: (26504732, 149192166) | Procs: 210
[2025-07-03 10:34:43] Key: l | CPU: 0.0% | RAM: 90.8% | Disk: 7756273664 | Net: (26504732, 149192226) | Procs: 210
[2025-07-03 10:34:43] Key: 6 | CPU: 0.0% | RAM: 90.7% | Disk: 7756273664 | Net: (26504732, 149192350) | Procs: 210
[2025-07-03 10:34:43] Key: g | CPU: 0.6% | RAM: 90.8% | Disk: 7756396544 | Net: (26504732, 149192404) | Procs: 210
[2025-07-03 10:34:43] Key: S | CPU: 3.1% | RAM: 90.7% | Disk: 7758493696 | Net: (26504732, 149192404) | Procs: 210
[2025-07-03 10:34:44] Key: 9 | CPU: 0.6% | RAM: 90.7% | Disk: 7758493696 | Net: (26504732, 149192404) | Procs: 210
[2025-07-03 10:34:44] Key: X | CPU: 0.6% | RAM: 90.7% | Disk: 7758493696 | Net: (26504732, 149192404) | Procs: 210
[2025-07-03 10:34:44] Key: 7 | CPU: 0.6% | RAM: 90.7% | Disk: 7758493696 | Net: (26504732, 149192458) | Procs: 210
[2025-07-03 10:34:45] Key: m | CPU: 0.7% | RAM: 90.7% | Disk: 7760590848 | Net: (26504732, 149192518) | Procs: 210
[2025-07-03 10:34:45] Key: o | CPU: 0.0% | RAM: 90.7% | Disk: 7760590848 | Net: (26504732, 149192580) | Procs: 210
[2025-07-03 10:34:45] Key: C | CPU: 0.0% | RAM: 90.7% | Disk: 7760590848 | Net: (26504732, 149192580) | Procs: 210
[2025-07-03 10:34:46] Key: Z | CPU: 0.6% | RAM: 90.7% | Disk: 7760590848 | Net: (26504732, 149192580) | Procs: 210
[2025-07-03 10:34:46] Key: m | CPU: 0.6% | RAM: 90.7% | Disk: 7762688000 | Net: (26504732, 149192580) | Procs: 210
[2025-07-03 10:34:46] Key: 0 | CPU: 0.6% | RAM: 90.7% | Disk: 7762688000 | Net: (26504787, 149192580) | Procs: 210
[2025-07-03 10:34:47] Key: W | CPU: 0.6% | RAM: 90.7% | Disk: 7762688000 | Net: (26504787, 149192646) | Procs: 210
[2025-07-03 10:34:47] Key: F | CPU: 1.2% | RAM: 90.7% | Disk: 7762688000 | Net: (26504787, 149192646) | Procs: 210
[2025-07-03 10:34:47] Key: S | CPU: 0.0% | RAM: 90.7% | Disk: 7764905984 | Net: (26504787, 149192646) | Procs: 210
[2025-07-03 10:34:48] Key: u | CPU: 0.6% | RAM: 90.6% | Disk: 7764905984 | Net: (26504787, 149192760) | Procs: 210
[2025-07-03 10:34:48] Key: 6 | CPU: 0.0% | RAM: 90.6% | Disk: 7764905984 | Net: (26504787, 149192760) | Procs: 210
[2025-07-03 10:34:48] Key: 2 | CPU: 1.2% | RAM: 90.6% | Disk: 7764910080 | Net: (26504787, 149192760) | Procs: 210
[2025-07-03 10:34:49] Key: P | CPU: 1.8% | RAM: 90.6% | Disk: 7764910080 | Net: (26504787, 149192760) | Procs: 210
[2025-07-03 10:34:49] Key: I | CPU: 3.7% | RAM: 90.6% | Disk: 7765052928 | Net: (26504787, 149192760) | Procs: 210
[2025-07-03 10:34:49] Key: V | CPU: 3.9% | RAM: 90.6% | Disk: 7765052928 | Net: (26504787, 149193211) | Procs: 210
[2025-07-03 10:34:49] Key: j | CPU: 2.5% | RAM: 90.6% | Disk: 7765052928 | Net: (26504787, 149194759) | Procs: 210
[2025-07-03 10:34:50] Key: p | CPU: 5.6% | RAM: 90.2% | Disk: 7765052928 | Net: (26504787, 149195772) | Procs: 210
[2025-07-03 10:34:50] Key: K | CPU: 5.5% | RAM: 90.2% | Disk: 7765787648 | Net: (26504787, 149197282) | Procs: 210
[2025-07-03 10:34:50] Key: g | CPU: 6.7% | RAM: 90.3% | Disk: 7765787648 | Net: (26504787, 149198322) | Procs: 210
[2025-07-03 10:34:51] Key: 9 | CPU: 4.4% | RAM: 90.2% | Disk: 7765787648 | Net: (26504787, 149198322) | Procs: 210
[2025-07-03 10:34:51] Key: K | CPU: 3.8% | RAM: 90.3% | Disk: 7765787648 | Net: (26504787, 149198430) | Procs: 210
[2025-07-03 10:34:51] Key: w | CPU: 0.0% | RAM: 90.2% | Disk: 7766391808 | Net: (26504787, 149198430) | Procs: 209
[2025-07-03 10:34:52] Key: q | CPU: 1.9% | RAM: 90.2% | Disk: 7766391808 | Net: (26504787, 149198492) | Procs: 209
[2025-07-03 10:34:52] Key: n | CPU: 3.1% | RAM: 90.2% | Disk: 7766391808 | Net: (26504787, 149198492) | Procs: 209
[2025-07-03 10:34:52] Key: T | CPU: 1.2% | RAM: 90.2% | Disk: 7766391808 | Net: (26504787, 149198492) | Procs: 209
[2025-07-03 10:34:53] Key: q | CPU: 1.8% | RAM: 90.2% | Disk: 7766391808 | Net: (26504787, 149198492) | Procs: 209
[2025-07-03 10:34:53] Key: f | CPU: 0.6% | RAM: 90.2% | Disk: 7766511616 | Net: (26504787, 149198616) | Procs: 209
[2025-07-03 10:34:53] Key: 0 | CPU: 3.1% | RAM: 90.2% | Disk: 7766511616 | Net: (26504787, 149198616) | Procs: 209
[2025-07-03 10:34:54] Key: p | CPU: 3.0% | RAM: 90.2% | Disk: 7766511616 | Net: (26504787, 149198616) | Procs: 209
[2025-07-03 10:34:54] Key: 3 | CPU: 0.6% | RAM: 90.2% | Disk: 7766511616 | Net: (26504787, 149198670) | Procs: 209
[2025-07-03 10:34:54] Key: V | CPU: 0.6% | RAM: 90.2% | Disk: 7766636032 | Net: (26504787, 149198670) | Procs: 209
[2025-07-03 10:34:55] Key: G | CPU: 3.0% | RAM: 90.2% | Disk: 7766636032 | Net: (26505009, 149199025) | Procs: 209
[2025-07-03 10:34:55] Key: D | CPU: 1.2% | RAM: 90.2% | Disk: 7766636032 | Net: (26505009, 149199087) | Procs: 209
[2025-07-03 10:34:55] Key: q | CPU: 1.9% | RAM: 90.2% | Disk: 7766636032 | Net: (26505009, 149199087) | Procs: 209
[2025-07-03 10:34:55] Key: 7 | CPU: 1.9% | RAM: 90.2% | Disk: 7766707712 | Net: (26505009, 149199289) | Procs: 209
[2025-07-03 10:34:56] Key: L | CPU: 1.8% | RAM: 90.2% | Disk: 7766707712 | Net: (26505009, 149199289) | Procs: 209
[2025-07-03 10:34:56] Key: E | CPU: 3.1% | RAM: 90.2% | Disk: 7766707712 | Net: (26505009, 149199551) | Procs: 209
[2025-07-03 10:34:56] Key: A | CPU: 3.8% | RAM: 90.2% | Disk: 7766707712 | Net: (26505064, 149199617) | Procs: 209
[2025-07-03 10:34:57] Key: 5 | CPU: 1.8% | RAM: 90.1% | Disk: 7766953472 | Net: (26505064, 149199617) | Procs: 208
[2025-07-03 10:34:57] Key: 6 | CPU: 0.6% | RAM: 90.1% | Disk: 7767007744 | Net: (26505064, 149199617) | Procs: 208
[2025-07-03 10:34:57] Key: w | CPU: 4.3% | RAM: 90.1% | Disk: 7767335424 | Net: (26505064, 149199617) | Procs: 208
[2025-07-03 10:34:58] Key: y | CPU: 2.4% | RAM: 90.1% | Disk: 7767335424 | Net: (26505064, 149199671) | Procs: 208
[2025-07-03 10:34:58] Key: u | CPU: 1.2% | RAM: 90.1% | Disk: 7767339520 | Net: (26505064, 149199671) | Procs: 208
[2025-07-03 10:34:58] Key: 5 | CPU: 4.9% | RAM: 90.1% | Disk: 7767387648 | Net: (26505064, 149199671) | Procs: 208
[2025-07-03 10:34:59] Key: g | CPU: 1.8% | RAM: 90.1% | Disk: 7767387648 | Net: (26505064, 149199671) | Procs: 208
[2025-07-03 10:34:59] Key: a | CPU: 3.2% | RAM: 90.1% | Disk: 7767387648 | Net: (26505064, 149199671) | Procs: 208
[2025-07-03 10:34:59] Key: V | CPU: 3.0% | RAM: 90.0% | Disk: 7767387648 | Net: (26505064, 149199873) | Procs: 208
[2025-07-03 10:35:00] Key: V | CPU: 0.6% | RAM: 90.0% | Disk: 7767526400 | Net: (26505064, 149199987) | Procs: 208
[2025-07-03 10:35:00] Key: O | CPU: 3.1% | RAM: 89.6% | Disk: 7767526400 | Net: (26505064, 149200049) | Procs: 208
[2025-07-03 10:35:00] Key: p | CPU: 1.8% | RAM: 89.6% | Disk: 7767526400 | Net: (26505064, 149200049) | Procs: 208
[2025-07-03 10:35:01] Key: h | CPU: 2.5% | RAM: 89.7% | Disk: 7767526400 | Net: (26505064, 149200049) | Procs: 208
[2025-07-03 10:35:01] Key: o | CPU: 0.6% | RAM: 89.7% | Disk: 7767526400 | Net: (26505064, 149200103) | Procs: 208
[2025-07-03 10:35:01] Key: y | CPU: 0.0% | RAM: 89.7% | Disk: 7767538688 | Net: (26505064, 149200157) | Procs: 208
[2025-07-03 10:35:02] Key: 9 | CPU: 1.8% | RAM: 89.7% | Disk: 7767538688 | Net: (26505064, 149200157) | Procs: 208
[2025-07-03 10:35:02] Key: 9 | CPU: 0.6% | RAM: 89.7% | Disk: 7767538688 | Net: (26505064, 149200271) | Procs: 208
[2025-07-03 10:35:02] Key: M | CPU: 0.0% | RAM: 89.7% | Disk: 7767538688 | Net: (26505064, 149200271) | Procs: 208
[2025-07-03 10:35:02] Key: c | CPU: 0.6% | RAM: 89.7% | Disk: 7767597568 | Net: (26505064, 149200325) | Procs: 208
[2025-07-03 10:35:03] Key: 7 | CPU: 0.0% | RAM: 89.7% | Disk: 7767597568 | Net: (26505064, 149200325) | Procs: 208
[2025-07-03 10:35:03] Key: X | CPU: 0.6% | RAM: 89.7% | Disk: 7767667200 | Net: (26505763, 149200563) | Procs: 208
[2025-07-03 10:35:03] Key: w | CPU: 0.6% | RAM: 89.7% | Disk: 7767667200 | Net: (26505763, 149201089) | Procs: 208
[2025-07-03 10:35:04] Key: U | CPU: 0.6% | RAM: 89.7% | Disk: 7767672320 | Net: (26505763, 149201089) | Procs: 208
