cpu_usage,ram_usage,disk_write_bytes,net_sent,net_recv,process_count,keystrokes,mouse_clicks,mouse_moves,label
6.919234489,71.45058178,305638177,77959226,88633292,229,6,0,106,0
4.678375994,74.94070744,223387312,45702262,58231775,203,1,1,116,0
4.912596159,56.03741213,329216880,55285578,79662644,238,4,0,133,0
4.911827537,51.00877067,230084478,62189272,71867090,219,6,0,98,0
4.691249986,60.27978795,115707765,43070322,85379149,224,1,0,125,0
4.004421466,53.25201675,208799442,40167497,72159730,227,6,1,113,0
6.188034382,50.56064723,102551617,66817373,71382368,211,4,2,130,0
6.900536499,59.01067068,491341914,65672780,57818320,201,3,2,113,0
4.67288045,69.59345628,486298883,56431552,56649174,213,3,2,105,0
5.989141575,64.15451728,258062118,59585763,86659566,221,3,2,125,0
6.225688981,57.81944973,391348341,56617720,63113527,230,5,2,121,0
6.545276137,66.35855014,238322439,40960201,64883290,222,2,2,107,0
5.267887591,55.80045451,368437262,53414864,80392946,219,4,1,117,0
4.908792717,50.35953615,422172017,47083290,63552939,237,7,1,104,0
4.975885402,69.10883466,478702497,43936967,88082497,203,3,2,111,0
6.137863999,65.59357712,260084910,78268817,79517110,214,1,1,130,0
6.4503384,69.05756561,413319193,63974389,73897169,223,5,1,127,0
4.544841903,50.97345042,206371380,69146251,85235806,224,2,1,109,0
5.112823024,70.9279907,496132921,52614549,51984236,200,6,0,126,0
6.70582059,65.488155,110307839,55725885,60282507,206,2,2,127,0
6.420080559,64.08488377,341411522,49476959,68601453,230,3,2,122,0
6.954575208,65.6153512,363802392,43878626,59079141,211,7,1,108,0
6.262744779,71.61083117,375218222,47161265,79756207,204,3,2,138,0
5.179585603,64.67341266,148155031,71900561,86768321,237,7,1,115,0
5.771913502,64.5237595,475411913,67101832,66950804,211,2,1,98,0
5.983042763,74.76697893,172473311,61877155,63685304,238,4,2,117,0
4.235367449,68.91825418,349101361,59003594,88462029,217,3,2,117,0
5.633490877,61.05734514,189070431,76897371,67794097,201,3,2,133,0
6.127962485,67.684925,222886566,42909397,69561936,209,5,1,123,0
