cpu_usage,ram_usage,disk_write_bytes,net_sent,net_recv,process_count,keystrokes,mouse_clicks,mouse_moves,label
0.8,78.2,5043574272,10813760,87180382,173,0,0,0,1
1.9,78.2,5043670016,10813760,87180382,173,0,0,0,1
0.4,78.2,5043671552,10813760,87180684,173,0,0,0,1
0.0,78.2,5043671552,10813760,87180798,173,0,0,0,1
0.4,78.2,5043673088,10813815,87180926,173,0,0,0,1
0.8,78.2,5044029952,10813815,87181302,173,0,0,0,1
0.0,78.2,5044121600,10813815,87181856,173,0,0,0,1
0.4,78.2,5044121600,10814569,87182746,173,0,0,0,1
0.0,78.2,5044127744,10814569,87182746,173,0,0,0,1
0.0,78.2,5044211712,10814569,87182746,173,0,0,0,1
0.0,78.1,5044430848,10814569,87182746,173,0,0,0,1
0.0,78.0,5044430848,10814611,87182842,172,0,0,0,1
0.0,78.0,5044547584,10814611,87183152,172,0,0,0,1
0.0,78.1,5044549632,10814820,87183594,172,0,0,0,1
0.0,78.1,5044551680,10814820,87183871,172,0,0,0,1
0.0,78.1,5044658176,10814820,87184088,172,0,0,0,1
0.0,78.1,5044725760,10814820,87184427,172,0,0,0,1
0.0,78.1,5044727808,10814820,87184611,172,0,0,0,1
0.0,78.1,5044730368,10814820,87184611,172,0,0,0,1
0.4,78.1,5044812288,10814820,87184733,172,0,0,0,1
0.8,78.1,5044818944,10814820,87184935,172,0,0,0,1
1.2,78.1,5044923904,10814820,87185199,172,0,0,0,1
0.4,78.1,5044926464,10814820,87185439,172,0,0,0,1
0.0,78.0,5044926464,10814820,87185439,172,0,0,0,1
0.0,78.1,5044929024,10814820,87185703,172,0,0,0,1
0.8,78.1,5045021696,10814820,87185765,172,0,0,0,1
0.0,78.1,5045024256,10814820,87185887,172,0,0,0,1
0.8,78.0,5045024256,10814875,87186049,172,0,0,0,1
0.8,78.1,5045027328,10814875,87186109,172,0,0,0,1
0.0,78.1,5045030400,10814875,87186169,172,0,0,0,1
0.4,78.0,5045041664,10814875,87186223,172,0,0,0,1
1.2,78.1,5045041664,10814875,87186445,172,0,0,0,1
0.0,78.1,5045754880,10814917,87187079,172,0,0,0,1
0.0,78.1,5045794816,10814917,87187281,172,0,0,0,1
0.0,78.1,5045834752,10814917,87187281,172,0,0,0,1
1.6,78.1,5045924864,10814917,87187281,172,0,0,0,1
0.8,78.1,5045927936,10814917,87187397,172,0,0,0,1
0.4,78.1,5045931008,10814972,87187525,172,0,0,0,1
0.4,78.1,5045934592,10814972,87187647,172,0,0,0,1
0.0,78.1,5045934592,10814972,87187647,172,0,0,0,1
0.0,77.9,5045950464,10814972,87187707,172,0,0,0,1
0.0,78.1,5045954048,10814972,87187883,172,0,0,0,1
0.0,78.1,5045957632,10814972,87188069,172,0,0,0,1
